alpha-2,alpha-3,country-code,iso_3166-2,region,sub-region,intermediate-region,region-code,sub-region-code,intermediate-region-code
AF,AFG,4,ISO 3166-2:AF,Asia,Southern Asia,,142.0,34.0,
AX,ALA,248,ISO 3166-2:AX,Europe,Northern Europe,,150.0,154.0,
AL,ALB,8,ISO 3166-2:AL,Europe,Southern Europe,,150.0,39.0,
DZ,DZA,12,ISO 3166-2:DZ,Africa,Northern Africa,,2.0,15.0,
AS,ASM,16,ISO 3166-2:AS,Oceania,Polynesia,,9.0,61.0,
AD,AND,20,ISO 3166-2:AD,Europe,Southern Europe,,150.0,39.0,
AO,AGO,24,ISO 3166-2:AO,Africa,Sub-Saharan Africa,Middle Africa,2.0,202.0,17.0
AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
AQ,ATA,10,ISO 3166-2:AQ,,,,,,
AG,ATG,28,ISO 3166-2:AG,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
AR,ARG,32,ISO 3166-2:AR,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
AM,ARM,51,ISO 3166-2:AM,Asia,Western Asia,,142.0,145.0,
AW,ABW,533,ISO 3166-2:AW,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
AU,AUS,36,ISO 3166-2:AU,Oceania,Australia and New Zealand,,9.0,53.0,
AT,AUT,40,ISO 3166-2:AT,Europe,Western Europe,,150.0,155.0,
AZ,AZE,31,ISO 3166-2:AZ,Asia,Western Asia,,142.0,145.0,
BS,BHS,44,ISO 3166-2:BS,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
BH,BHR,48,ISO 3166-2:BH,Asia,Western Asia,,142.0,145.0,
BD,BGD,50,ISO 3166-2:BD,Asia,Southern Asia,,142.0,34.0,
BB,BRB,52,ISO 3166-2:BB,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
BY,BLR,112,ISO 3166-2:BY,Europe,Eastern Europe,,150.0,151.0,
BE,BEL,56,ISO 3166-2:BE,Europe,Western Europe,,150.0,155.0,
BZ,BLZ,84,ISO 3166-2:BZ,Americas,Latin America and the Caribbean,Central America,19.0,419.0,13.0
BJ,BEN,204,ISO 3166-2:BJ,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0
BM,BMU,60,ISO 3166-2:BM,Americas,Northern America,,19.0,21.0,
BT,BTN,64,ISO 3166-2:BT,Asia,Southern Asia,,142.0,34.0,
BO,BOL,68,ISO 3166-2:BO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
BQ,BES,535,ISO 3166-2:BQ,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
BA,BIH,70,ISO 3166-2:BA,Europe,Southern Europe,,150.0,39.0,
BW,BWA,72,ISO 3166-2:BW,Africa,Sub-Saharan Africa,Southern Africa,2.0,202.0,18.0
BV,BVT,74,ISO 3166-2:BV,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
BR,BRA,76,ISO 3166-2:BR,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
IO,IOT,86,ISO 3166-2:IO,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0
BN,BRN,96,ISO 3166-2:BN,Asia,South-eastern Asia,,142.0,35.0,
BG,BGR,100,ISO 3166-2:BG,Europe,Eastern Europe,,150.0,151.0,
BF,BFA,854,ISO 3166-2:BF,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0
BI,BDI,108,ISO 3166-2:BI,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0
CV,CPV,132,ISO 3166-2:CV,Africa,Sub-Saharan Africa,Western Africa,2.0,202.0,11.0
KH,KHM,116,ISO 3166-2:KH,Asia,South-eastern Asia,,142.0,35.0,
CM,CMR,120,ISO 3166-2:CM,Africa,Sub-Saharan Africa,Middle Africa,2.0,202.0,17.0
CA,CAN,124,ISO 3166-2:CA,Americas,Northern America,,19.0,21.0,
KY,CYM,136,ISO 3166-2:KY,Americas,Latin America and the Caribbean,Caribbean,19.0,419.0,29.0
CF,CAF,140,ISO 3166-2:CF,Africa,Sub-Saharan Africa,Middle Africa,2.0,202.0,17.0
TD,TCD,148,ISO 3166-2:TD,Africa,Sub-Saharan Africa,Middle Africa,2.0,202.0,17.0
CL,CHL,152,ISO 3166-2:CL,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
CN,CHN,156,ISO 3166-2:CN,Asia,Eastern Asia,,142.0,30.0,
CX,CXR,162,ISO 3166-2:CX,Oceania,Australia and New Zealand,,9.0,53.0,
CC,CCK,166,ISO 3166-2:CC,Oceania,Australia and New Zealand,,9.0,53.0,
CO,COL,170,ISO 3166-2:CO,Americas,Latin America and the Caribbean,South America,19.0,419.0,5.0
KM,COM,174,ISO 3166-2:KM,Africa,Sub-Saharan Africa,Eastern Africa,2.0,202.0,14.0
